Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C100","1u","C_0603_1608Metric",159.265000,-54.275000,-90.000000,top
"C101","1u","C_0603_1608Metric",164.265000,-54.250000,-90.000000,top
"C102","22u","C_0805_2012Metric",144.500000,-95.750000,180.000000,top
"C103","22u","C_0805_2012Metric",142.500000,-100.700000,90.000000,top
"C104","22u","C_0805_2012Metric",164.500000,-61.500000,180.000000,top
"C105","22u","C_0805_2012Metric",164.500000,-68.500000,180.000000,top
"C107","22u","C_0805_2012Metric",149.000000,-112.362500,180.000000,top
"C108","100n","C_0402_1005Metric",146.250000,-108.500000,-90.000000,top
"C200","10u","C_0603_1608Metric",127.500000,-71.750000,90.000000,top
"C201","100n","C_0402_1005Metric",129.000000,-73.500000,90.000000,top
"C202","100n","C_0402_1005Metric",136.500000,-84.000000,180.000000,top
"C203","100n","C_0402_1005Metric",139.750000,-75.000000,-90.000000,top
"C204","100n","C_0402_1005Metric",131.000000,-71.500000,0.000000,top
"C205","10n","C_0402_1005Metric",127.750000,-81.500000,-90.000000,top
"C206","1u","C_0603_1608Metric",126.250000,-81.875000,-90.000000,top
"C207","1u","C_0603_1608Metric",122.750000,-81.875000,-90.000000,top
"C208","10p","C_0402_1005Metric",127.750000,-75.500000,90.000000,top
"C209","10p","C_0402_1005Metric",123.750000,-78.900000,180.000000,top
"C210","100n","C_0402_1005Metric",145.000000,-61.047500,90.000000,top
"C211","100n","C_0402_1005Metric",135.500000,-55.000000,180.000000,top
"C212","100n","C_0402_1005Metric",122.250000,-60.750000,90.000000,top
"C300","150p","C_0402_1005Metric",164.750000,-107.750000,0.000000,top
"C301","100n","C_0402_1005Metric",164.250000,-106.000000,-90.000000,top
"C302","100n","C_0402_1005Metric",160.750000,-100.000000,90.000000,top
"C303","1n","C_0402_1005Metric",163.770000,-97.750000,180.000000,top
"C304","150p","C_0402_1005Metric",163.770000,-92.000000,180.000000,top
"C305","1n","C_0402_1005Metric",166.500000,-89.480000,90.000000,top
"C306","100n","C_0402_1005Metric",160.750000,-88.020000,-90.000000,top
"C307","150p","C_0402_1005Metric",162.270000,-84.750000,180.000000,top
"C308","10u","C_0603_1608Metric",172.250000,-77.500000,0.000000,top
"C309","10u","C_0603_1608Metric",172.250000,-82.250000,0.000000,top
"C310","10u","C_0603_1608Metric",165.250000,-81.500000,-90.000000,top
"C311","100n","C_0402_1005Metric",163.750000,-81.750000,-90.000000,top
"C312","10u","C_0603_1608Metric",154.000000,-88.750000,180.000000,top
"C313","100n","C_0402_1005Metric",154.500000,-87.250000,180.000000,top
"C314","100n","C_0402_1005Metric",152.500000,-85.500000,-90.000000,top
"C315","10u","C_0603_1608Metric",151.000000,-85.020000,-90.000000,top
"C400","10u","C_0603_1608Metric",130.500000,-85.750000,180.000000,top
"C401","100n","C_0402_1005Metric",130.750000,-87.250000,180.000000,top
"C402","1u","C_0603_1608Metric",128.750000,-89.000000,180.000000,top
"C403","1n","C_0402_1005Metric",131.480000,-98.250000,0.000000,top
"C404","150p","C_0402_1005Metric",131.520000,-104.000000,0.000000,top
"C405","1n","C_0402_1005Metric",129.250000,-105.750000,-90.000000,top
"C406","100n","C_0402_1005Metric",133.250000,-110.500000,-90.000000,top
"D100","RED","LED_0603_1608Metric",139.500000,-52.962500,90.000000,top
"D200","R6GHY5C-A01","R6GHY5C-A01",135.500000,-53.000000,0.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",138.000000,-67.500000,90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",134.500000,-67.500000,90.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",131.000000,-67.500000,90.000000,top
"D204","PESD3V3L1BA,115","D_SOD-323",127.500000,-67.500000,90.000000,top
"D205","PESD3V3L1BA,115","D_SOD-323",124.000000,-67.500000,90.000000,top
"D300","PESD3V3L1BA,115","D_SOD-323",165.300000,-113.000000,180.000000,top
"D400","PESD3V3L1BA,115","D_SOD-323",132.000000,-113.000000,180.000000,top
"J200","USB_C_Receptacle_USB2.0","TYPE-C-31-M-12",147.500000,-54.000000,180.000000,top
"J201","2x7 1.27mm","14 Pin IDC 1.27mm",131.000000,-62.000000,180.000000,top
"J300","DOSIN-801-0031","AMPHENOL-BNC-031-5640-1010",164.000000,-119.500000,180.000000,top
"J400","DOSIN-801-0031","AMPHENOL-BNC-031-5640-1010",131.000000,-119.500000,180.000000,top
"L100","10n","L_0402_1005Metric",161.750000,-53.250000,0.000000,top
